Date,Open,High,Low,Close,green,red,flat,intraday_return,sma_200,signal,strategy,trade_date,gross_profit,cost,net_profit,cumulative_net_profit
2015-07-10,2044.75,2074.75,2044.75,2069.0,True,False,False,0.011859640542853711,2051.9075,True,buy_after_first_green_after_red_below_200dma,2015-07-10,1.185964054285371,0.02,1.165964054285371,1.165964054285371
2015-09-03,1947.5,1973.5,1942.0,1946.0,False,True,False,-0.0007702182284980985,2069.39375,True,buy_after_first_green_after_red_below_200dma,2015-09-03,-0.07702182284980985,0.02,-0.09702182284980986,1.0689422314355612
2015-09-09,1966.5,1992.0,1935.5,1942.75,False,True,False,-0.012077294685990392,2067.80625,True,buy_after_first_green_after_red_below_200dma,2015-09-09,-1.2077294685990392,0.02,-1.2277294685990392,-0.15878723716347798
2015-09-11,1949.5,1962.5,1937.25,1960.25,True,False,False,0.0055142344190817205,2066.70875,True,buy_after_first_green_after_red_below_200dma,2015-09-11,0.551423441908172,0.02,0.531423441908172,0.37263620474469406
2015-09-16,1979.75,1999.0,1972.75,1998.25,True,False,False,0.00934461421896704,2065.33875,True,buy_after_first_green_after_red_below_200dma,2015-09-16,0.934461421896704,0.02,0.914461421896704,1.287097626641398
2015-09-22,1964.25,1965.0,1917.75,1932.0,False,True,False,-0.016418480336006125,2063.24625,True,buy_after_first_green_after_red_below_200dma,2015-09-22,-1.6418480336006125,0.02,-1.6618480336006125,-0.37475040695921447
2015-09-28,1915.5,1929.75,1868.75,1872.0,False,True,False,-0.022709475332811313,2060.34125,True,buy_after_first_green_after_red_below_200dma,2015-09-28,-2.2709475332811313,0.02,-2.2909475332811313,-2.665697940240346
2015-10-01,1902.5,1929.5,1890.25,1916.75,True,False,False,0.007490144546649091,2058.75,True,buy_after_first_green_after_red_below_200dma,2015-10-01,0.7490144546649091,0.02,0.7290144546649091,-1.9366834855754367
2015-10-08,1987.75,2008.75,1971.0,2006.5,True,False,False,0.009432775751477829,2057.20875,True,buy_after_first_green_after_red_below_200dma,2015-10-08,0.9432775751477829,0.02,0.9232775751477829,-1.0134059104276538
2015-10-16,2018.25,2026.5,2012.25,2025.5,True,False,False,0.003592220983525296,2055.12875,True,buy_after_first_green_after_red_below_200dma,2015-10-16,0.3592220983525296,0.02,0.3392220983525296,-0.6741838120751242
2015-10-23,2054.25,2074.5,2053.25,2066.0,True,False,False,0.005719849093342999,2055.35,True,buy_after_first_green_after_red_below_200dma,2015-10-23,0.5719849093342999,0.02,0.5519849093342999,-0.12219890274082434
2015-11-17,2047.75,2063.5,2041.5,2049.0,True,False,False,0.0006104260774020265,2059.615,True,buy_after_first_green_after_red_below_200dma,2015-11-17,0.06104260774020265,0.02,0.041042607740202644,-0.0811562950006217
2015-12-11,2050.75,2056.25,2005.0,2009.75,False,True,False,-0.019992685602828186,2058.68125,True,buy_after_first_green_after_red_below_200dma,2015-12-11,-1.9992685602828186,0.02,-2.0192685602828186,-2.1004248552834404
2015-12-15,2021.75,2054.0,2019.0,2045.5,True,False,False,0.011747248670705979,2057.9075,True,buy_after_first_green_after_red_below_200dma,2015-12-15,1.1747248670705979,0.02,1.1547248670705978,-0.9456999882128425
2015-12-22,2017.0,2036.5,2007.25,2036.0,True,False,False,0.009419930589985137,2056.9225,True,buy_after_first_green_after_red_below_200dma,2015-12-22,0.9419930589985137,0.02,0.9219930589985137,-0.02370692921432882
2016-01-06,2010.75,2013.25,1970.5,1986.0,False,True,False,-0.012308839985080144,2055.07875,True,buy_after_first_green_after_red_below_200dma,2016-01-06,-1.2308839985080144,0.02,-1.2508839985080145,-1.2745909277223433
2016-01-12,1913.5,1940.25,1899.0,1925.0,True,False,False,0.006009929448654194,2052.29875,True,buy_after_first_green_after_red_below_200dma,2016-01-12,0.6009929448654194,0.02,0.5809929448654194,-0.6935979828569239
2016-01-15,1913.5,1921.0,1849.25,1875.0,False,True,False,-0.02012019858897307,2049.7075,True,buy_after_first_green_after_red_below_200dma,2016-01-15,-2.012019858897307,0.02,-2.032019858897307,-2.725617841754231
2016-01-20,1871.75,1878.5,1804.25,1855.0,False,True,False,-0.00894884466408441,2047.68375,True,buy_after_first_green_after_red_below_200dma,2016-01-20,-0.894884466408441,0.02,-0.914884466408441,-3.640502308162672
2016-01-22,1858.5,1902.25,1855.75,1899.25,True,False,False,0.02192628463814894,2045.76625,True,buy_after_first_green_after_red_below_200dma,2016-01-22,2.192628463814894,0.02,2.172628463814894,-1.467873844347778
2016-01-27,1885.25,1910.0,1864.5,1875.0,False,True,False,-0.005436944702294166,2042.63375,True,buy_after_first_green_after_red_below_200dma,2016-01-27,-0.5436944702294166,0.02,-0.5636944702294167,-2.0315683145771946
2016-01-29,1878.75,1933.0,1876.5,1930.0,True,False,False,0.02727877578176985,2040.73375,True,buy_after_first_green_after_red_below_200dma,2016-01-29,2.727877578176985,0.02,2.707877578176985,0.6763092635997903
2016-02-04,1907.75,1922.25,1890.25,1907.75,False,False,True,0.0,2037.1675,True,buy_after_first_green_after_red_below_200dma,2016-02-04,0.0,0.02,-0.02,0.6563092635997902
2016-02-16,1865.25,1892.75,1865.0,1888.75,True,False,False,0.012598847339498676,2028.5675,True,buy_after_first_green_after_red_below_200dma,2016-02-16,1.2598847339498676,0.02,1.2398847339498675,1.8961939975496578
2016-02-23,1934.0,1938.0,1913.75,1916.0,False,True,False,-0.009307135470527417,2024.33125,True,buy_after_first_green_after_red_below_200dma,2016-02-23,-0.9307135470527417,0.02,-0.9507135470527417,0.9454804504969161
2016-02-25,1933.0,1951.5,1920.25,1950.5,True,False,False,0.009053285049146487,2022.70375,True,buy_after_first_green_after_red_below_200dma,2016-02-25,0.9053285049146487,0.02,0.8853285049146487,1.8308089554115647
2016-03-02,1976.25,1984.75,1966.25,1983.5,True,False,False,0.003668564199873492,2019.7425,True,buy_after_first_green_after_red_below_200dma,2016-03-02,0.3668564199873492,0.02,0.3468564199873492,2.177665375398914
2016-03-10,1990.0,2010.25,1967.25,1988.75,False,True,False,-0.0006281407035175768,2015.80625,True,buy_after_first_green_after_red_below_200dma,2016-03-10,-0.06281407035175768,0.02,-0.08281407035175768,2.094851305047156
2018-10-26,2678.0,2692.75,2627.25,2669.5,False,True,False,-0.0031740104555638693,2768.31125,True,buy_after_first_green_after_red_below_200dma,2018-10-26,-0.31740104555638693,0.02,-0.33740104555638695,1.7574502594907693
2018-10-31,2690.75,2737.25,2682.0,2711.0,True,False,False,0.007525782774319367,2766.635,True,buy_after_first_green_after_red_below_200dma,2018-10-31,0.7525782774319367,0.02,0.7325782774319367,2.490028536922706
2018-11-16,2731.75,2748.75,2708.75,2743.0,True,False,False,0.004118239223940723,2762.0075,True,buy_after_first_green_after_red_below_200dma,2018-11-16,0.4118239223940723,0.02,0.39182392239407227,2.8818524593167782
