strategy,window_start,window_end,profitable,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_after_first_green_after_red,2016-07-01,2017-06-30,False,66,6600.0,-1.6839334614559553,-3.0039334614559565,-0.0004551414335539328,-0.04551414335539328,-0.138766746941662,0.3787878787878788,0.90719780219781,-1.2953623188405783,0.7515386936289737,-3.969260901303626
buy_after_first_green_after_red,2016-08-01,2017-07-31,False,64,6400.0,-0.6575907598407427,-1.9375907598407438,-0.00030274855622511624,-0.030274855622511622,-0.11467796999409473,0.40625,0.90719780219781,-1.2953623188405783,0.824851868653809,-3.0539220939199208
buy_after_first_green_after_red,2016-09-01,2017-08-31,False,64,6400.0,-1.817960108507799,-3.0979601085078,-0.0004840562669543438,-0.04840562669543438,-0.10704718992074146,0.40625,0.90719780219781,-1.5300841187797753,0.7634129340902437,-3.7223044874856015
buy_after_first_green_after_red,2016-10-01,2017-09-30,False,62,6200.0,-1.0479308534291798,-2.287930853429181,-0.0003690211053918034,-0.036902110539180334,-0.04058178233301789,0.41935483870967744,0.90719780219781,-1.5300841187797753,0.8020279653894031,-3.7223044874856015
buy_after_first_green_after_red,2016-11-01,2017-10-31,False,61,6100.0,0.0016736773934433735,-1.2183263226065577,-0.00019972562665681275,-0.019972562665681273,-0.02,0.4426229508196721,0.90719780219781,-1.5300841187797753,0.8896261266489466,-3.7223044874856015
buy_after_first_green_after_red,2016-12-01,2017-11-30,False,61,6100.0,0.3273529569973843,-0.8926470430026168,-0.00014633558082010112,-0.01463355808201011,-0.02,0.45901639344262296,0.90719780219781,-1.5300841187797753,0.9167811408096025,-3.7223044874856015
buy_after_first_green_after_red,2017-01-01,2017-12-31,False,63,6300.0,0.32630117180888485,-0.933698828191116,-0.00014820616320493905,-0.014820616320493906,-0.02,0.4444444444444444,0.8810853983207001,-1.5300841187797753,0.910905852851114,-3.722304487485601
buy_after_first_green_after_red,2017-02-01,2018-01-31,True,59,5900.0,1.7859460149829642,0.6059460149829632,0.00010270271440389206,0.010270271440389207,-0.009882638607840982,0.4745762711864407,1.0944793152639165,-1.5300841187797753,1.0645812184390566,-3.7223044874856015
buy_after_first_green_after_red,2017-03-01,2018-02-28,True,60,6000.0,1.7572498164988182,0.5572498164988171,9.287496941646952e-05,0.009287496941646952,-0.02,0.45,1.3070666298037081,-1.5300841187797753,1.0541756591390743,-3.529759392862848
buy_after_first_green_after_red,2017-04-01,2018-03-31,True,58,5800.0,1.6758858695246515,0.5158858695246504,8.894583957321559e-05,0.00889458395732156,-0.03010509296685558,0.4482758620689655,1.3070666298037081,-1.6650460612897122,1.0451843729495924,-3.529759392862848
