Date,Open,High,Low,Close,green,red,flat,intraday_return,sma_200,signal,strategy,trade_date,gross_profit,cost,net_profit,cumulative_net_profit
2014-05-02,1878.75,1886.0,1872.0,1874.5,False,True,False,-0.0022621423819028097,,True,buy_after_red,2014-05-02,-0.22621423819028097,0.02,-0.24621423819028096,-0.24621423819028096
2014-05-05,1875.5,1880.0,1860.5,1875.75,True,False,False,0.00013329778725679198,,True,buy_after_red,2014-05-05,0.013329778725679198,0.02,-0.006670221274320803,-0.25288445946460175
2014-05-07,1864.0,1875.75,1854.5,1874.25,True,False,False,0.005498927038626533,,True,buy_after_red,2014-05-07,0.5498927038626533,0.02,0.5298927038626533,0.27700824439805155
2014-05-09,1870.25,1875.0,1862.5,1873.5,True,False,False,0.0017377355968453134,,True,buy_after_red,2014-05-09,0.17377355968453134,0.02,0.15377355968453135,0.43078180408258293
2014-05-15,1885.75,1888.5,1859.0,1867.25,False,True,False,-0.009810420257192143,,True,buy_after_red,2014-05-15,-0.9810420257192143,0.02,-1.0010420257192143,-0.5702602216366314
2014-05-16,1867.0,1875.75,1861.25,1874.75,True,False,False,0.004151044456347064,,True,buy_after_red,2014-05-16,0.4151044456347064,0.02,0.39510444563470637,-0.175155776001925
2014-05-21,1868.5,1886.5,1866.5,1885.0,True,False,False,0.00883061279100894,,True,buy_after_red,2014-05-21,0.883061279100894,0.02,0.863061279100894,0.687905503098969
2014-05-29,1909.75,1918.0,1907.25,1918.0,True,False,False,0.004319937164550369,,True,buy_after_red,2014-05-29,0.4319937164550369,0.02,0.4119937164550369,1.0998992195540058
2014-06-12,1943.75,1947.75,1924.75,1930.5,False,True,False,-0.006816720257234676,,True,buy_after_red,2014-06-12,-0.6816720257234676,0.02,-0.7016720257234677,0.3982271938305382
2014-06-13,1930.75,1937.0,1926.5,1935.75,True,False,False,0.0025896672277612165,,True,buy_after_red,2014-06-13,0.25896672277612165,0.02,0.23896672277612166,0.6371939166066598
2014-06-25,1942.25,1953.25,1937.25,1949.5,True,False,False,0.003732784142103318,,True,buy_after_red,2014-06-25,0.3732784142103318,0.02,0.3532784142103318,0.9904723308169916
2014-07-08,1970.5,1970.75,1952.75,1960.5,False,True,False,-0.005074854097944725,,True,buy_after_red,2014-07-08,-0.5074854097944725,0.02,-0.5274854097944726,0.46298692102251904
2014-07-09,1960.5,1968.25,1958.25,1967.25,True,False,False,0.0034429992348889993,,True,buy_after_red,2014-07-09,0.34429992348889993,0.02,0.3242999234888999,0.787286844511419
2014-07-11,1957.25,1963.5,1953.0,1962.5,True,False,False,0.0026823349086728676,,True,buy_after_red,2014-07-11,0.26823349086728676,0.02,0.24823349086728677,1.0355203353787057
2014-07-16,1968.0,1978.0,1967.0,1974.75,True,False,False,0.003429878048780477,,True,buy_after_red,2014-07-16,0.3429878048780477,0.02,0.3229878048780477,1.3585081402567534
2014-07-18,1949.25,1974.25,1942.5,1971.5,True,False,False,0.011414646658971295,,True,buy_after_red,2014-07-18,1.1414646658971295,0.02,1.1214646658971295,2.479972806153883
2014-07-22,1965.75,1980.5,1965.25,1975.0,True,False,False,0.004705583110772071,,True,buy_after_red,2014-07-22,0.47055831107720714,0.02,0.4505583110772071,2.93053111723109
2014-07-25,1978.75,1980.75,1968.0,1971.5,False,True,False,-0.003663929248262754,,True,buy_after_red,2014-07-25,-0.3663929248262754,0.02,-0.3863929248262754,2.5441381924048145
2014-07-28,1970.75,1976.0,1960.75,1973.0,True,False,False,0.0011416973233540073,,True,buy_after_red,2014-07-28,0.11416973233540073,0.02,0.09416973233540073,2.6383079247402152
2014-07-30,1964.25,1974.25,1956.5,1965.0,True,False,False,0.000381825124093238,,True,buy_after_red,2014-07-30,0.0381825124093238,0.02,0.0181825124093238,2.656490437149539
2014-08-01,1926.0,1932.25,1910.25,1918.5,False,True,False,-0.003894080996884708,,True,buy_after_red,2014-08-01,-0.3894080996884708,0.02,-0.4094080996884708,2.2470823374610682
2014-08-04,1919.5,1937.5,1914.75,1932.0,True,False,False,0.0065121125293046145,,True,buy_after_red,2014-08-04,0.6512112529304614,0.02,0.6312112529304614,2.8782935903915297
2014-08-06,1914.75,1923.5,1903.0,1914.75,False,False,True,0.0,,True,buy_after_red,2014-08-06,0.0,0.02,-0.02,2.8582935903915296
2014-08-08,1905.25,1928.25,1890.25,1923.75,True,False,False,0.009710011809473729,,True,buy_after_red,2014-08-08,0.9710011809473729,0.02,0.9510011809473728,3.8092947713389025
2014-08-13,1932.25,1946.5,1930.75,1944.75,True,False,False,0.006469142191745325,,True,buy_after_red,2014-08-13,0.6469142191745325,0.02,0.6269142191745325,4.436208990513435
2014-08-18,1955.75,1969.0,1955.75,1967.5,True,False,False,0.006007925348331833,,True,buy_after_red,2014-08-18,0.6007925348331833,0.02,0.5807925348331833,5.017001525346618
2014-08-25,1990.0,1999.75,1988.75,1995.0,True,False,False,0.002512562814070307,,True,buy_after_red,2014-08-25,0.2512562814070307,0.02,0.23125628140703072,5.248257806753649
2014-08-28,1996.75,1999.5,1987.5,1996.75,False,False,True,0.0,,True,buy_after_red,2014-08-28,0.0,0.02,-0.02,5.22825780675365
2014-09-04,1998.75,2010.0,1990.75,1997.75,False,True,False,-0.0005003126954346016,,True,buy_after_red,2014-09-04,-0.050031269543460155,0.02,-0.07003126954346016,5.15822653721019
2014-09-05,1999.0,2007.75,1988.25,2006.0,True,False,False,0.0035017508754378035,,True,buy_after_red,2014-09-05,0.35017508754378035,0.02,0.33017508754378033,5.488401624753971
2014-09-09,2000.25,2003.0,1983.25,1989.75,False,True,False,-0.005249343832021025,,True,buy_after_red,2014-09-09,-0.5249343832021025,0.02,-0.5449343832021025,4.943467241551868
2014-09-10,1989.5,1996.25,1981.5,1995.0,True,False,False,0.002764513696908777,,True,buy_after_red,2014-09-10,0.2764513696908777,0.02,0.2564513696908777,5.199918611242746
2014-09-15,1981.75,1987.25,1972.0,1984.25,True,False,False,0.0012615112905260961,,True,buy_after_red,2014-09-15,0.1261511290526096,0.02,0.10615112905260961,5.306069740295356
2014-09-23,1984.0,1988.0,1968.25,1972.25,False,True,False,-0.005922379032258118,,True,buy_after_red,2014-09-23,-0.5922379032258118,0.02,-0.6122379032258118,4.693831837069544
2014-09-24,1969.75,1992.5,1969.5,1991.0,True,False,False,0.010788171087701581,,True,buy_after_red,2014-09-24,1.0788171087701581,0.02,1.058817108770158,5.752648945839702
