strategy,number_of_windows,profitable_windows,probability_profitable_1yr,average_1yr_net_profit,median_1yr_net_profit,best_1yr_net_profit,worst_1yr_net_profit,average_trades_per_year,median_trades_per_year,average_win_rate,average_profit_factor,average_max_drawdown,median_return_on_deployed_capital
buy_every_session,132,111,0.8409090909090909,9.909100852309422,9.055402314503164,45.72769642165623,-23.47268043369269,251.53787878787878,252.0,0.5327896860586776,1.1498801235413145,-14.49279111791957,0.0003607959858984796
buy_after_red,132,103,0.7803030303030303,9.081190979290293,8.395828347843608,43.62554318101661,-20.90735359070103,112.78787878787878,112.0,0.5624171290995086,1.274419783524505,-10.972073641164824,0.0007057738948662305
buy_after_every_green,132,74,0.5606060606060606,0.2601384832391288,1.6406569383154994,17.830129864884732,-26.42074614078517,136.72727272727272,138.0,0.5079531477526604,1.0630540131665955,-11.507269053881446,0.00011870378472861632
buy_after_first_green_after_red_above_200dma,132,52,0.3939393939393939,-2.0233801809112864,-1.44640365988812,7.703200614943902,-11.353618550700272,49.85606060606061,53.5,0.47812607416287184,0.8682086274541914,-5.670187238323603,-0.0003959022540682244
buy_after_first_green_after_red_below_200dma,132,48,0.36363636363636365,-1.852618574568772,0.0,4.760549245287502,-13.581636569974352,12.007575757575758,11.0,0.5207034914616553,1.4628683382681513,-6.510145168098399,-1.5804619476219212e-05
buy_after_first_green_after_red,132,44,0.3333333333333333,-3.8921165153579995,-3.0509467849818783,8.352376691899149,-19.88309462649994,63.696969696969695,64.0,0.4814332063185416,0.8868687432678013,-9.394852475393293,-0.0004695988502541383
buy_after_first_green_after_two_reds,132,36,0.2727272727272727,-3.9239992996234534,-4.3746117763934125,7.455949624070632,-18.035234308860268,27.46969696969697,26.0,0.45002025640213406,0.872749880492771,-7.6114400470190295,-0.0016802318094583553
