strategy,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_every_session,3019,301900.0,185.4075564765541,125.02755647655408,0.0004141356623933557,0.04141356623933557,0.049054812257229866,0.5346141106326598,10.949335254167522,-9.844689554419286,1.126321605492492,-31.64423371334071
buy_after_red,1347,134700.0,134.7764457351093,107.83644573510927,0.00080056752587312,0.080056752587312,0.08911925175369763,0.5567928730512249,10.949335254167522,-9.844689554419286,1.2226694544130448,-28.332827096976388
buy_after_every_green,1646,164600.0,43.52656063794946,10.606560637949432,6.443839998754212e-05,0.006443839998754211,0.01848877690078023,0.5145808019441069,9.14825254673681,-9.650668536699394,1.021252106657487,-33.99133887415214
buy_after_first_green_after_red_below_200dma,134,13400.0,-15.41383876187825,-18.09383876187825,-0.0013502864747670334,-0.13502864747670335,-0.05084970124244691,0.4701492537313433,5.669655172413799,-9.650668536699394,0.7967280872374891,-33.54392396120557
buy_after_first_green_after_red_above_200dma,578,57800.0,-12.726798088406964,-24.286798088406975,-0.000420186818138529,-0.0420186818138529,-0.02,0.4826989619377163,2.661480243922807,-4.61647879002718,0.8634258235973389,-26.187888295440466
buy_after_first_green_after_red,759,75900.0,-29.206326767870042,-44.38632676787003,-0.0005848000891682481,-0.05848000891682481,-0.02,0.48484848484848486,5.669655172413799,-9.650668536699394,0.8439298958222169,-49.627402828483085
buy_after_first_green_after_two_reds,330,33000.0,-39.351910753655844,-45.95191075365585,-0.0013924821440501774,-0.13924821440501772,-0.08684784518147247,0.4575757575757576,5.669655172413799,-9.650668536699394,0.7004114720980135,-49.744943355871754
